Years,Months,Age,Pitch,Light,Weight,Classics,French,English,Mathematics,Residuals Pitch,Residuals Light,Residuals Weight,Residuals Classics,Residuals French,Residuals English,Residuals Mathematics
10,9,10.75,50,10,4,16,19,10,7,35.42254926,-3.336243452,-7.805188326,2.956348217,5.770516338,-2.990022449,-5.81042654
12,4,12.33333333,3,10,6,5,6,6,5,-14.6884302,-3.388968571,-6.098237299,-1.709528561,-0.6431882431,-1.493774424,-2.340047393
11,1,11.08333333,10,10,6,5,6,6,5,-5.232393781,-3.347343477,-5.866882847,-6.710152158,-5.842895153,-5.832917602,-6.658767773
10,11,10.91666667,60,10,9,22,23,22,22,45.09507774,-3.341793465,-2.836035587,9.623098029,10.46381059,9.588529974,9.765402844
13,7,13.58333333,4,12,5,1,1,1,2,-16.14446662,-1.430593664,-7.329591752,-0.7089049638,-0.4434813337,-2.154631246,-1.021327014
12,6,12.5,2,10,10,4,2,2,1,-16.01590172,-3.394518583,-2.12908456,-2.042778748,-3.949893989,-4.915222,-5.764218009
10,4,10.33333333,4,10,11,12,14,13,18,-9.75877193,-3.322368421,-0.7280701754,-2.710526316,-0.9627192982,-1.436403509,3.75
9,5,9.416666667,20,10,11,23,22,23,23,8.042321443,-3.291843352,-0.5584102436,4.622349713,3.224162301,5.381558161,5.582938389
12,0,12,11,10,12,8,8,15,15,-6.033487154,-3.377868546,-0.03654277875,-0.04302818658,-0.02977675231,6.349120728,6.508293839
10,2,10.16666667,11,12,11,3,5,4,4,-2.431300407,-1.316818409,-0.6972229151,-12.37727613,-10.65601355,-11.01495593,-10.82582938
11,2,11.16666667,24,14,10,7,7,7,6,8.603870458,0.6498815166,-1.882306477,-4.376777251,-4.496248025,-4.54364139,-5.370853081
10,1,10.08333333,5,18,7,20,15,18,16,-8.267564646,4.685956598,-4.681799285,4.289348965,-1.00266068,2.695767856,0.8862559242
9,8,9.666666667,3,18,9,10,13,14,12,-9.44888584,4.699831629,-2.604681134,-7.377525567,-4.735896317,-2.750613204,-4.553317536
11,10,11.83333333,5,13,13,2,3,3,3,-11.70601563,-0.3723185333,0.9943044816,-6.709778,-5.723071007,-6.229431695,-6.067535545
11,1,11.08333333,6,13,13,11,12,12,9,-9.232393781,-0.3473434772,1.133117153,-0.7101521576,0.1571048474,0.1670823979,-2.658767773
10,6,10.5,7,14,11,17,18,17,13,-7.086243452,0.6720815665,-0.7589174358,2.956223497,3.730574956,3.142148915,-0.6741706161
10,8,10.66666667,15,19,10,21,20,21,19,0.5862850254,5.666531554,-1.789764696,7.62297331,6.423869211,7.720701339,5.901658768
10,4,10.33333333,11,14,13,19,21,9,21,-2.75877193,0.6776315789,1.271929825,4.289473684,6.037280702,-5.436403509,6.75
10,4,10.33333333,14,13,18,18,16,8,17,0.2412280702,-0.3223684211,6.271929825,3.289473684,1.037280702,-6.436403509,2.75
10,1,10.08333333,15,13,28,15,10,20,10,1.732435354,-0.3140434023,16.31820072,-0.7106510352,-6.00266068,4.695767856,-5.113744076
12,3,12.25,7,19,13,9,9,16,11,-10.52469444,5.613806436,0.9171863308,1.957096533,2.01016463,8.216949364,3.372037915
10,7,10.58333333,4,16,16,14,17,19,20,-10.24997921,2.66930656,4.225658934,0.2895984036,3.077222084,5.431425127,6.613744076
13,7,13.58333333,60,19,27,6,4,5,8,39.85553338,5.569406336,14.67040825,4.291095036,2.556518666,1.845368754,4.978672986
